[2023-04-03 13:43:36.820] [pxr_streamer] [info] ***********  Log Begin **********
[2023-04-03 13:43:36.820] [pxr_streamer] [info] process id= 9972
[2023-04-03 13:43:36.820] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:36.820] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x4128b0b0
[2023-04-03 13:43:36.820] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x4128b0b0
[2023-04-03 13:43:39.855] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:42.907] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:45.947] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:48.990] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:52.034] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:55.074] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:43:58.120] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:01.170] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:04.220] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:07.263] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:10.302] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:13.328] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:16.372] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:19.421] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:22.460] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:25.510] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:28.560] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:31.609] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:34.646] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:37.698] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:40.748] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:43.774] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:46.810] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:49.855] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:52.895] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:55.937] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:44:58.986] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:02.031] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:05.058] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:08.101] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:11.142] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:14.186] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:17.235] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:20.268] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:23.310] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:26.353] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:29.395] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:32.434] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
[2023-04-03 13:45:35.480] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= ???????????,?????, this = 0x4128b0b0
